USER_NAME,OPINION,reviews
johndoe1,"Great course!",Introduction to Python
janesmith2,"Loved it!",Advanced Django
alexbrown3,"Good content.",React Native Essentials
emilyjohnson4,"Needs improvement.",Machine Learning Basics
michaellee5,"Excellent course!",Data Science with Python
sarahdavis6,"Interesting material.",JavaScript for Beginners
danielmartinez7,"Very informative.",Web Development 101
oliviagarcia8,"Challenging but rewarding.",Introduction to AI
liamwilson9,"Well explained.",Data Structures and Algorithms
emmamiller10,"Detailed content.",Cloud Computing
